process_id,init,start_learn,start_conv,conv
PPO_HalfCheetah_seed1,0,23,268,306
PPO_HalfCheetah_seed2,0,34,306,306
PPO_HalfCheetah_seed3,0,30,213,306
PPO_HalfCheetah_seed4,0,21,297,306
PPO_HalfCheetah_seed5,0,20,297,306
PPO_HalfCheetah_seed6,0,27,260,306
PPO_HalfCheetah_seed7,0,34,306,306
PPO_HalfCheetah_seed8,0,28,294,306
PPO_HalfCheetah_seed9,0,22,299,306
PPO_HalfCheetah_seed10,0,26,278,306
PPO_Walker2d_seed1,0,0,179,306
PPO_Walker2d_seed2,0,0,171,306
PPO_Walker2d_seed3,0,0,206,306
PPO_Walker2d_seed4,0,0,174,306
PPO_Walker2d_seed5,0,0,224,306
PPO_Walker2d_seed6,0,0,198,306
PPO_Walker2d_seed7,0,0,247,306
PPO_Walker2d_seed8,0,0,275,306
PPO_Walker2d_seed9,0,0,223,306
PPO_Walker2d_seed10,0,0,293,306
PPO_Ant_seed1,0,155,275,306
PPO_Ant_seed2,0,139,301,306
PPO_Ant_seed3,0,126,304,306
PPO_Ant_seed4,0,125,267,306
PPO_Ant_seed5,0,121,277,306
PPO_Ant_seed6,0,102,306,306
PPO_Ant_seed7,0,130,293,306
PPO_Ant_seed8,0,136,304,306
PPO_Ant_seed9,0,129,279,306
PPO_Ant_seed10,0,104,300,306
PPO_Humanoid_seed1,0,0,134,306
PPO_Humanoid_seed2,0,56,279,306
PPO_Humanoid_seed3,0,12,300,306
PPO_Humanoid_seed4,0,0,284,306
PPO_Humanoid_seed5,0,8,284,306
PPO_Humanoid_seed6,0,0,282,306
PPO_Humanoid_seed7,0,22,267,306
PPO_Humanoid_seed8,0,0,285,306
PPO_Humanoid_seed9,0,2,181,306
PPO_Humanoid_seed10,0,0,263,306
PPO_HumanoidStandup_seed1,0,0,272,306
PPO_HumanoidStandup_seed2,0,0,117,306
PPO_HumanoidStandup_seed3,0,0,220,306
PPO_HumanoidStandup_seed4,0,0,232,306
PPO_HumanoidStandup_seed5,0,0,215,306
PPO_HumanoidStandup_seed6,0,0,303,306
PPO_HumanoidStandup_seed7,0,0,260,306
PPO_HumanoidStandup_seed8,0,0,291,306
PPO_HumanoidStandup_seed9,0,0,272,306
PPO_HumanoidStandup_seed10,0,0,295,306
